1700214973.2773151sad
1700214979.566509sad
1700214988.3046222uncomfortable
2023-11-17 18:57:53.554638sad
2023-11-17 18:58:00.085290sad
2023-11-17 18:58:08.424487sad
2023-11-17 19:02:57.601744 sad
2023-11-17 19:03:05.133244 hug
2023-11-17 19:03:15.065388 sad
2023-11-17 19:19:21.412963 awake
2023-11-17 19:22:11.452804 sad
2023-11-17 19:22:17.814083 sad
2023-11-17 19:22:29.339196 sad
2023-11-17 19:22:38.801269 uncomfortable
2023-11-17 19:22:48.596540 sad
2023-11-17 19:22:57.622956 uncomfortable
2023-11-17 19:23:06.771041 sad
2023-11-17 19:23:19.617131 sad
2023-11-17 19:23:29.625446 awake
2023-11-17 19:23:37.813817 sad
2023-11-17 19:23:45.917805 sad
2023-11-17 19:23:55.701340 sad
2023-11-17 19:24:05.830387 sad
2023-11-17 19:24:15.583192 sad
2023-11-17 19:24:24.405105 uncomfortable
2023-11-17 19:24:35.796104 sad
2023-11-17 19:24:47.848714 sad
2023-11-17 19:24:58.108101 sad
2023-11-17 19:25:06.456954 sad
2023-11-17 19:25:14.884431 sad
2023-11-17 19:36:42.2888072023-11-17 19:37:55.7322952023-11-17 19:38:39.217594 not_crying
2023-11-17 19:38:47.180958 not_crying
2023-11-17 19:38:55.834361 not_crying
2023-11-17 19:39:04.654061 not_crying
2023-11-17 19:39:14.257952 not_crying
2023-11-17 19:41:10.186371 not_crying
2023-11-17 19:41:18.832219 sad
2023-11-17 19:41:27.495747 sad
2023-11-17 19:41:37.295422 sad
2023-11-17 19:41:49.145227 not_crying
2023-11-17 19:41:58.284396 not_crying
2023-11-17 19:42:06.681894 not_crying
2023-11-17 19:42:15.410887 not_crying
2023-11-17 19:42:25.040368 not_crying
2023-11-17 19:42:35.100981 not_crying
2023-11-17 19:42:44.766004 not_crying
2023-11-17 19:42:55.179336 not_crying
2023-11-17 19:43:03.231547 not_crying
2023-11-17 19:43:15.028433 not_crying
2023-11-17 19:43:27.321492 not_crying
2023-11-17 19:43:37.388211 not_crying
2023-11-17 19:43:46.872696 not_crying
2023-11-17 19:43:56.635298 not_crying
2023-11-17 19:44:05.506119 not_crying
2023-11-17 19:44:15.183630 not_crying
